municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/04/14 07:00:00;343;354,95;1124;1163,18;79603
Madrid-Salamanca                            ;2020/04/14 07:00:00;332;211,01;1186;753,78;79604
Madrid-Centro                               ;2020/04/14 07:00:00;268;188,43;814;572,32;79601
Madrid-Arganzuela                           ;2020/04/14 07:00:00;345;193,38;1178;660,31;79602
Madrid-Chamartín                            ;2020/04/14 07:00:00;345;234,88;1154;785,65;79605
Madrid-Tetuán                               ;2020/04/14 07:00:00;596;364,58;1617;989,12;79606
Madrid-Chamberí                             ;2020/04/14 07:00:00;323;217,53;1040;700,42;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/14 07:00:00;828;368,75;2199;979,34;79608
Madrid-Moncloa-Aravaca                      ;2020/04/14 07:00:00;289;227,77;877;691,18;79609
Madrid-Latina                               ;2020/04/14 07:00:00;586;234,8;1940;777,33;79610
Madrid-Carabanchel                          ;2020/04/14 07:00:00;523;212,24;1869;758,47;79611
Madrid-Usera                                ;2020/04/14 07:00:00;308;207,47;1094;736,94;79612
Madrid-Puente de Vallecas                   ;2020/04/14 07:00:00;765;299,14;2410;942,38;79613
Madrid-San Blas - Canillejas                ;2020/04/14 07:00:00;351;252,75;1104;794,96;79620
Madrid-Barajas                              ;2020/04/14 07:00:00;111;210,7;339;643,5;79621
Madrid-Moratalaz                            ;2020/04/14 07:00:00;354;269,9;1053;802,84;79614
Madrid-Ciudad Lineal                        ;2020/04/14 07:00:00;554;209,33;1656;625,72;79615
Madrid-Hortaleza                            ;2020/04/14 07:00:00;431;204;1367;647,02;79616
Madrid-Villaverde                           ;2020/04/14 07:00:00;307;193,03;1093;687,24;79617
Madrid-Villa de Vallecas                    ;2020/04/14 07:00:00;238;223,2;1018;954,71;79618
Madrid-Vicálvaro                            ;2020/04/14 07:00:00;216;410,28;644;1223,24;79619
Pozuelo de Alarcón                          ;2020/04/14 07:00:00;105;118,91;468;530,01;1150
Alcorcón                                    ;2020/04/14 07:00:00;554;316,86;1280;732,09;72
Navalcarnero                                ;2020/04/14 07:00:00;29;102,73;118;418,01;967
San Agustín del Guadalix                    ;2020/04/14 07:00:00;26;178,53;42;288,4;1296
Las Rozas de Madrid                         ;2020/04/14 07:00:00;212;221,18;507;528,96;1277
Moraleja de Enmedio                         ;2020/04/14 07:00:00;;93,35;19;354,74;894
Valdaracete                                 ;2020/04/14 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/14 07:00:00;;202,02;;404,04;1163
Puebla de la Sierra                         ;2020/04/14 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/14 07:00:00;;53,72;7;188,02;1104
Valdemorillo                                ;2020/04/14 07:00:00;13;107,25;27;222,75;1603
Navalafuente                                ;2020/04/14 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/14 07:00:00;20;160,09;53;424,24;1678
Villanueva de la Cañada                     ;2020/04/14 07:00:00;24;98,43;76;311,68;1760
